Name;Price;Km;Etat;Date;Carburant;Note;Number of reviews;"Accoudoir

";Assistant de démarrage en côte;"Capteurs d'aide au stationnement arrière
";Capteurs d'aide au stationnement avant;Climatisation;Climatisation automatique;Détecteur de lumière;Détecteur de pluie; Régulateur de vitesse; Rétroviseurs latéraux électriques; Sièges électriques;Start/Stop automatique;Système de navigation;Vitres électriques;Volant en cuir;Volant multifonctions
BMW 323 SERIE 3 CAB E46 (04/2000-03/2007) Cab;EUR 19 900,-;82 323 km;Occasion, Historique entretien;05/2000;Essence;N/A;0;False;False;False;False;True;True;False;False;False;True;True;False;False;True;True;False
BMW 118 i 5-Türer Advantage *Tempomat*USB*Shz*PDC*;EUR 19 900,-;36 908 km;Occasion;05/2018;Super 95 / Essence 91 / Super Plus 98;4.5;-10;True;False;True;False;True;False;True;True;True;True;False;True;False;True;True;True
BMW 525 (F10) 525DA 218CH BUSINESS;EUR 19 900,-;123 377 km;Occasion;09/2014;Diesel (Filtre à particules);N/A;0;True;False;False;False;True;True;True;True;False;False;False;True;True;False;False;False
BMW 520 SERIE 5 F10 business;EUR 19 900,-;98 000 km;Occasion;09/2016;Essence (Filtre à particules);N/A;0;False;False;True;True;False;False;False;True;True;True;True;False;True;True;True;True
BMW 116 116i 109ch M Sport 5p Euro6d-T;EUR 19 990,-;38 140 km;Occasion;07/2018;Essence;N/A;0;True;True;True;False;True;True;True;True;True;True;False;True;True;True;True;True
BMW 116 116i 109ch M Sport 5p Euro6d-T;EUR 19 990,-;33 587 km;Occasion;08/2018;Essence;N/A;0;True;False;True;False;False;False;False;False;False;False;False;False;True;False;False;True
BMW i3 170ch 94Ah REx +CONNECTED Atelier;"EUR 20.990,-




Ce prix a ete en ligne pendant au moins 14 jours, avant detre reduit.




EUR 19 990,-";58 092 km;Occasion;06/2018;Electrique;N/A;0;;;;;;;;;;;;;;;;
BMW 218 218i 136ch Lounge;EUR 19 999,-;43 751 km;Occasion;03/2018;Essence;3.5;-6;True;True;True;False;False;False;True;True;True;False;False;True;False;False;False;False
BMW 118 118iA 136ch Business 5p GPS Radar AR;EUR 19 999,-;49 254 km;Occasion;11/2017;Essence;3.5;-6;True;True;True;False;True;True;True;True;True;False;False;True;True;False;False;True
BMW 218 218i 136ch Lounge Radar AR;EUR 19 999,-;45 759 km;Occasion;05/2017;Essence;N/A;0;True;True;False;False;False;False;True;True;False;False;False;True;False;False;False;False
BMW 114 114d 95ch M Sport Ultimate 5p Euro6c;EUR 20 490,-;53 291 km;Occasion;12/2018;Diesel;N/A;0;;;;;;;;;;;;;;;;
BMW 218 218d 150ch Lounge;EUR 20 499,-;101 610 km;Occasion;12/2016;Diesel (Filtre à particules);4.0;-2;True;True;False;False;True;True;True;True;False;False;False;True;False;False;False;False
BMW 430 SPORT EDITION GRAND COUPE;EUR 20 900,-;145 140 km;Occasion;10/2014;Diesel;N/A;0;True;False;False;False;False;False;False;True;True;False;True;False;True;False;False;True
BMW 320 320d 163ch EfficientDynamics Edition Business Desi;"EUR 22.900,-




Ce prix a ete en ligne pendant au moins 14 jours, avant detre reduit.




EUR 20 900,-";95 292 km;Occasion;02/2018;Diesel (Filtre à particules);2.0;-2;True;True;True;False;True;True;True;True;True;True;False;True;True;True;True;True
BMW Z3 2.2i;EUR 20 900,-;64 289 km;Occasion, Historique entretien;12/2001;Essence;5.0;-3;False;False;False;False;True;False;False;False;False;True;True;False;False;True;True;False
BMW 330 330 D 260 LUXURY ABSOLUTE XDRIVE BVA GARANTIE 12 M;EUR 20 990,-;76 500 km;Occasion;09/2014;Diesel;N/A;0;False;False;False;False;False;False;False;False;False;True;False;True;True;False;False;False
BMW i3 170ch 94Ah +CONNECTED Atelier;EUR 20 990,-;24 131 km;Occasion;12/2018;Electrique;4.0;-2;True;True;True;False;True;True;True;True;True;True;False;False;True;True;True;True
BMW 218 218iA 140ch Luxury DKG7;EUR 20 990,-;51 683 km;Occasion;06/2018;Essence;N/A;0;True;True;True;False;False;False;True;True;True;True;True;True;True;True;True;True
BMW 135 SERIE 1 F21 (07/2012-03/2015) 320 ch A;EUR 20 990,-;68 000 km;Occasion, Historique entretien;06/2013;Essence;3.5;-39;True;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True
BMW 320 320dA 190ch Luxury;EUR 20 999,-;99 115 km;Occasion;05/2016;Diesel;N/A;0;True;True;False;False;True;False;True;True;False;False;False;True;False;False;False;True
BMW 320 320dA xDrive 190ch Lounge Plus;EUR 20 999,-;102 155 km;Occasion;02/2016;Diesel;N/A;0;True;True;False;False;True;True;True;True;False;False;False;True;True;False;False;True
BMW 225 225xeA 224ch Business;EUR 20 999,-;57 424 km;Occasion;03/2017;Électrique/Essence;3.5;-6;True;True;True;True;False;False;True;True;True;False;False;True;True;False;False;False
BMW 118 118iA 136ch Lounge 5p Euro6d-T Touvrant Pano LED R;EUR 20 999,-;17 939 km;Occasion;06/2018;Essence;N/A;0;True;False;True;False;False;False;False;False;False;False;False;False;False;False;True;True
BMW X1 sDrive18dA 150ch Lounge GPS Camera;EUR 20 999,-;96 511 km;Occasion;12/2015;Diesel;N/A;0;False;False;True;False;False;False;False;False;False;True;False;False;True;False;True;True
BMW 216 216dA 116ch Luxury Gps Camera Cuir Radar AV/AR;EUR 20 999,-;26 227 km;Occasion;06/2018;Diesel;5.0;-1;False;False;True;False;False;False;False;False;False;True;False;False;True;False;False;True
BMW 518 518dA 150ch Lounge Plus;EUR 21 290,-;88 181 km;Occasion;11/2016;Diesel (Filtre à particules);3.5;-1;True;False;True;False;False;False;True;True;True;True;True;True;True;True;True;True
BMW 116 116i 109ch M Sport Ultimate 3p Euro6d-T;EUR 21 499,-;29 807 km;Occasion;09/2018;Essence;3.0;-3;;;;;;;;;;;;;;;;
BMW 114 114d 95ch M Sport Ultimate 5p Euro6c LED GPS Camer;EUR 21 499,-;39 983 km;Occasion;03/2019;Diesel (Filtre à particules);5.0;-1;True;True;False;False;True;True;True;True;False;False;False;True;False;False;False;True
BMW 114 114d 95ch M Sport Ultimate 5p Euro6c LED GPS CAMER;EUR 21 499,-;31 201 km;Occasion;03/2019;Diesel (Filtre à particules);5.0;-1;True;True;False;False;True;True;True;True;False;False;False;True;False;False;False;True
BMW 218 218dA 150ch Lounge Xenon GPS Cuir-tissu Radar AR J;EUR 21 499,-;78 089 km;Occasion;07/2016;Diesel (Filtre à particules);N/A;0;True;True;False;False;True;True;True;True;False;False;False;True;True;False;False;False
BMW 425 425dA 218ch Luxury;EUR 21 500,-;126 752 km;Occasion;04/2014;Diesel (Filtre à particules);2.0;-2;True;True;True;False;True;False;True;True;True;True;True;True;True;True;True;True
